pitch_no,game_no,pa_of_inning,pitch_of_pa,batter_side,pitcher_throws,outs,balls,strikes,k_or_bb,hit_type,play_result,pitch_call,tagged_pitch_type,rel_speed,spin_rate,tilt,rel_height,rel_side,extension,vert_break,induced_vert_break,horz_break,plate_loc_height,plate_loc_side,strike_prob,exit_speed,angle,direction,distance,bearing
1,1,1,1,Left,Right,0,0,0,Undefined,Undefined,Undefined,StrikeCalled,Fastball,95.24439247,2289.005021,1:00,5.948255327,2.46219502,5.920436629,-13.84109481,16.8484539,9.674769694,2.654182828,0.671104334,0.983521581,NULL,NULL,NULL,NULL,NULL
2,1,1,2,Left,Right,0,0,1,Undefined,Undefined,Undefined,FoulBall,Fastball,95.68631148,2290.852247,1:00,5.965203755,2.339650886,6.014029384,-13.85609819,16.4299868,9.509195956,2.323816535,0.63546514,0.967864692,86.13589353,30.39767296,-77.62883256,277.1353534,-94.36304008
3,1,1,3,Left,Right,0,0,2,Undefined,Undefined,Undefined,BallCalled,ChangeUp,85.49010372,1728.540219,2:15,5.766795292,2.40172267,5.995708072,-32.31487701,5.378022659,15.39736585,1.858760296,1.075479092,0.068469003,NULL,NULL,NULL,NULL,NULL
4,1,1,4,Left,Right,0,1,2,Strikeout,Undefined,Undefined,StrikeSwinging,Fastball,95.36547679,2369.69156,1:00,5.863854718,2.304657303,6.014502649,-13.51424389,16.88314168,10.86665836,3.360267337,0.360471184,0.377581149,NULL,NULL,NULL,NULL,NULL
5,1,2,1,Right,Right,1,0,0,Undefined,Undefined,Undefined,StrikeSwinging,Fastball,96.2784841,2389.885832,1:00,5.893282933,2.254750743,5.949347451,-13.24364269,16.69843279,1.04E+01,2.292293078,0.221160907,0.996671677,NULL,NULL,NULL,NULL,NULL
6,1,2,2,Right,Right,1,0,1,Undefined,Undefined,Undefined,StrikeCalled,Fastball,96.03445245,2365.549407,1:00,5.953195796,2.174522365,6.122471619,-12.91363151,16.97070691,10.41307735,2.165734485,-0.790134675,0.882309794,NULL,NULL,NULL,NULL,NULL
7,1,2,3,Right,Right,1,0,2,Undefined,Undefined,Undefined,BallCalled,Fastball,95.47616582,2384.632681,1:15,5.849941976,2.279751052,6.122151086,-13.83558845,16.42900285,11.08812996,3.346049207,-0.868745635,0.037718229,NULL,NULL,NULL,NULL,NULL
8,1,2,4,Right,Right,1,1,2,Undefined,Undefined,Undefined,BallCalled,Fastball,97.09586697,2424.901597,1:00,5.961441517,2.198813343,6.120174382,-12.62919984,16.6783215,10.27392683,3.08592074,-0.949414253,0.133470148,NULL,NULL,NULL,NULL,NULL
9,1,2,5,Right,Right,1,2,2,Undefined,Undefined,Undefined,BallCalled,Fastball,95.70101402,2322.813535,1:00,5.968882781,2.083972536,6.174992775,-14.44155816,15.68751347,8.079394074,1.937938577,-1.599280744,0.000112791,NULL,NULL,NULL,NULL,NULL
10,1,2,6,Right,Right,1,3,2,Undefined,Undefined,Undefined,FoulBall,Fastball,96.64223698,2331.469454,12:45,5.874796405,2.06076379,5.974786121,-11.45653483,18.11589484,8.089133124,1.892623583,-0.075960908,0.976240575,NULL,NULL,NULL,NULL,NULL
11,1,2,7,Right,Right,1,3,2,Undefined,Undefined,Undefined,FoulBall,Fastball,96.47063601,2231.771789,1:00,5.94151484,2.108594116,5.894373447,-14.20742244,15.53484287,8.937329722,2.669802014,-0.139478656,0.991491735,NULL,NULL,NULL,NULL,NULL
12,1,2,8,Right,Right,1,3,2,Undefined,FlyBall,Out,InPlay,Fastball,86.26074695,1620.036463,2:15,5.841605691,2.019029208,6.318750124,-30.74193238,5.916624795,15.75032533,2.22523629,-0.008638734,0.992395043,74.46244123,34.86126422,0.480913423,256.491183,6.729932808
13,1,3,1,Left,Right,2,0,0,Undefined,Undefined,Undefined,StrikeCalled,Curveball,82.40790664,2356.876959,7:00,5.7744267,2.445429919,5.215165003,-58.32724387,-15.73252378,-7.850907259,2.527446607,0.612218008,0.993280113,NULL,NULL,NULL,NULL,NULL
14,1,3,2,Left,Right,2,0,1,Undefined,Undefined,Undefined,BallCalled,Fastball,95.37457973,2344.273061,1:15,5.785859135,2.480444831,6.086884197,-15.61206127,14.93003146,12.81014348,2.6367614,-0.946528759,0.143071473,NULL,NULL,NULL,NULL,NULL
15,1,3,3,Left,Right,2,1,1,Undefined,Undefined,Undefined,StrikeSwinging,ChangeUp,84.40221762,1497.92079,2:30,5.830929172,2.307490669,6.118186381,-34.90422621,3.642020139,17.15287604,2.904195688,0.871541784,0.642085314,NULL,NULL,NULL,NULL,NULL
16,1,3,4,Left,Right,2,1,2,Undefined,GroundBall,Single,InPlay,ChangeUp,85.80185086,1733.810075,2:30,5.739269726,2.294470123,6.412306873,-32.87134886,4.268146229,16.1009911,1.544515416,-0.161784667,0.293581098,99.31109919,4.984122817,13.77130847,89.01805077,13.41742333
17,1,4,1,Right,Right,2,0,0,Undefined,Undefined,Undefined,StrikeSwinging,Fastball,96.21362646,2381.499995,1:00,5.892578313,2.206026889,5.893221615,-12.37511766,17.71690459,11.20040939,2.987024819,-0.291360644,0.982158601,NULL,NULL,NULL,NULL,NULL
18,1,4,2,Right,Right,2,0,1,Undefined,Undefined,Undefined,BallCalled,Fastball,97.10290873,2283.433412,1:15,5.834546391,2.241194658,6.15854891,-14.14917375,15.11902389,10.73844478,2.004520899,-1.254374169,0.005271215,NULL,NULL,NULL,NULL,NULL
19,1,4,3,Right,Right,2,1,1,Undefined,Undefined,Undefined,StrikeSwinging,Fastball,95.77799695,2273.615193,1:15,5.916793568,2.271381793,6.137244856,-14.56020161,15.4860141,11.50618036,2.930978627,-0.931976558,0.400358289,NULL,NULL,NULL,NULL,NULL
20,1,4,4,Right,Right,2,1,2,Undefined,Undefined,Undefined,BallCalled,Fastball,96.70473095,2348.090527,1:15,5.784958804,2.223101143,5.937640743,-12.66074373,17.17991516,1.16E+01,2.917384119,-1.917749365,0.000115864,NULL,NULL,NULL,NULL,NULL
